game,subject,session,plv_method,n_trials,n_left_trials,n_right_trials,n_hit,n_wrong_paddle,n_timeout_close_strong,n_timeout_close_weak,n_timeout_wrong,n_close_strong_early,n_close_weak_early,n_wrong_early,n_timed_out,n_timed_out_close_strong,n_timed_out_close_weak,n_timed_out_wrong,hit_rate,broad_acc,liberal_acc,hit_rate_left,hit_rate_right,broad_acc_left,broad_acc_right,liberal_acc_left,liberal_acc_right,mean_dist_final,mean_dist_trajectory,mean_min_dist,mean_frac_correct_side,mean_reversals,mean_reversals_wrong,mean_reversals_correct,mean_peak_excursion,mean_dist_final_left,mean_dist_final_right,mean_frac_correct_left,mean_frac_correct_right,mean_reaction_s,median_reaction_s,n_no_reaction,mean_trial_duration_s,mean_hit_duration_s,n_fighting,frac_fighting,n_fighting_timeout,n_fighting_wrong_paddle
neurofeedback,Subject_000,Session_002,N/A,80,40,40,41,34,0,0,0,3,2,0,0,0,0,0,0.5125,0.5125,0.5125,0.825,0.2,0.825,0.2,0.825,0.2,310.625,345.58515448675865,151.25,0.523550748723548,12.1125,6.5125,5.6,204.35,119.0,502.25,0.7737511242309161,0.27335037321617994,0.9672727272727272,0.0,25,4.6425,4.200813008130082,8,0.1,0,6
neurofeedback,Subject_000,Session_003,N/A,20,10,10,12,6,0,0,0,0,1,1,0,0,0,0,0.6,0.6,0.6,0.3,0.9,0.3,0.9,0.3,0.9,256.4,317.1042976677569,125.1,0.5812696418199409,6.3,3.5,2.8,230.4,457.0,55.8,0.2631706840510718,0.89936859958881,1.0522222222222222,0.5666666666666667,5,3.9891666666666667,3.531944444444445,1,0.05,0,1
neurofeedback,Subject_000,Session_004,N/A,40,20,20,18,19,0,0,0,0,2,1,0,0,0,0,0.45,0.45,0.45,0.6,0.3,0.6,0.3,0.6,0.3,352.7,358.54865495424485,167.4,0.4970678322764571,13.15,6.925,6.225,188.05,262.6,442.8,0.5719554914055556,0.42218017314735856,0.7811827956989247,0.0,9,4.927083333333334,4.269444444444445,5,0.125,0,5
neurofeedback,Subject_000,Session_005,N/A,200,100,100,158,26,3,3,0,3,3,4,7,3,3,0,0.79,0.805,0.82,0.88,0.7,0.89,0.72,0.9,0.74,120.47,274.84259549392726,62.71,0.7064609152632049,15.56,7.1,8.46,292.43,53.7,187.24,0.7867979639197131,0.6261238666066967,0.9123655913978495,0.0,14,5.2675833333333335,4.748312236286919,22,0.11,3,12
neurofeedback,Subject_000,Session_006,N/A,100,50,50,63,27,0,0,0,6,4,0,0,0,0,0,0.63,0.63,0.63,0.32,0.94,0.32,0.94,0.32,0.94,210.84,315.4457999012159,107.0,0.5948277841900758,12.78,6.48,6.3,248.3,372.36,49.32,0.32932016250149393,0.8603354058786575,1.1354901960784314,0.0,15,5.365500000000001,4.684391534391533,15,0.15,0,8
neurofeedback,Subject_000,Session_007,N/A,5,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,271.2,329.2184303704446,153.2,0.5067035775127768,4.2,3.4,0.8,205.2,340.0,225.33333333333334,0.3125,0.6361726291879614,2.0416666666666665,0.85,1,5.296666666666666,4.622222222222223,0,0.0,0,0
neurofeedback,Subject_001,ME,N/A,100,50,50,46,34,2,4,3,2,3,6,9,2,4,3,0.46,0.48,0.52,0.44,0.48,0.46,0.5,0.48,0.56,303.78,318.37238226137504,131.94,0.6156925092899317,16.11,5.92,10.19,223.36,290.44,317.12,0.5818281766180045,0.649556841961859,0.4623529411764706,0.0,15,5.913500000000002,4.765942028985507,7,0.07,1,3
neurofeedback,Subject_001,Session_001,N/A,200,100,100,69,88,0,0,0,8,17,18,0,0,0,0,0.345,0.345,0.345,0.36,0.33,0.36,0.33,0.36,0.33,370.72,357.58482118493544,170.02,0.49614061439049884,16.195,7.645,8.55,185.4,351.74,389.7,0.48878662261215455,0.5034946061688433,0.8215189873417722,0.0,42,5.906499999999999,4.39951690821256,33,0.165,0,18
neurofeedback,Subject_0010,Session_001,N/A,200,100,100,127,56,0,1,2,7,3,4,4,0,1,2,0.635,0.635,0.64,0.5,0.77,0.5,0.77,0.5,0.78,223.59,298.02250057913704,110.28,0.6577548795541212,6.54,3.18,3.36,245.06,303.92,143.26,0.4955572772907022,0.8199524818175402,0.5775757575757575,0.0,35,4.532583333333333,3.7761154855643038,9,0.045,2,4
neurofeedback,Subject_002,ME,N/A,100,50,50,61,30,0,0,3,0,4,2,3,0,0,3,0.61,0.61,0.61,0.6,0.62,0.6,0.62,0.6,0.62,246.62,318.5843699310748,117.14,0.5896874217679826,8.8,4.65,4.15,238.26,242.84,250.4,0.5379274320454929,0.6414474114904725,0.7210970464135021,0.0,21,4.943500000000001,4.366120218579234,7,0.07,1,6
neurofeedback,Subject_002,Session_001,N/A,200,100,100,130,37,0,0,0,11,12,10,0,0,0,0,0.65,0.65,0.65,0.6,0.7,0.6,0.7,0.6,0.7,177.31,275.27486554452986,81.59,0.7185376292708383,10.175,3.91,6.265,273.56,188.54,166.08,0.6509528118794932,0.7861224466621836,0.5739130434782609,0.0,16,5.464666666666667,4.44974358974359,12,0.06,0,5
neurofeedback,Subject_002,Session_002,N/A,100,50,50,59,25,1,2,2,3,2,6,5,1,2,2,0.59,0.6,0.62,0.54,0.64,0.56,0.64,0.6,0.64,227.04,299.7762727490632,111.36,0.649923487119992,10.62,5.12,5.5,243.92,243.28,210.8,0.5692252423057138,0.7306217319342704,0.6357142857142858,0.0,16,5.175833333333333,3.9666666666666672,10,0.1,3,5
neurofeedback,Subject_002,Session_003,N/A,100,50,50,53,30,1,4,2,3,5,2,9,1,4,2,0.53,0.54,0.58,0.62,0.44,0.64,0.44,0.68,0.48,254.58,322.4330052491139,132.44,0.5787156682743961,9.44,4.15,5.29,222.92,153.8,355.36,0.7225180167697309,0.43491331977906145,0.7613168724279835,0.0,19,5.597833333333333,4.691823899371069,6,0.06,4,2
neurofeedback,Subject_003,ME,N/A,100,50,50,77,18,1,1,0,1,1,1,2,1,1,0,0.77,0.78,0.79,0.86,0.68,0.88,0.68,0.88,0.7,146.94,276.7270215779321,79.24,0.696645502172192,2.83,1.48,1.35,276.0,83.0,210.88,0.8541304573868004,0.5391605469575838,0.946743295019157,0.0,13,4.402,4.02164502164502,1,0.01,0,1
neurofeedback,Subject_003,Session_001,N/A,200,100,100,165,28,1,0,1,1,2,2,2,1,0,1,0.825,0.83,0.83,0.73,0.92,0.73,0.93,0.73,0.93,119.23,247.13098622919074,64.44,0.7950920303435978,3.63,1.66,1.97,290.78,160.6,77.86,0.6759505086840538,0.9142335520031417,0.3542372881355932,0.0,23,3.9272500000000004,3.6599999999999993,4,0.02,0,4
neurofeedback,Subject_003,Session_002,N/A,100,50,50,68,13,0,0,0,3,9,7,0,0,0,0,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,157.16,280.8805794798553,82.82,0.6851807538893938,12.19,5.46,6.73,272.3,136.04,178.28,0.7332725290183387,0.6370889787604491,0.7670250896057346,0.0,7,5.730666666666666,4.671568627450981,11,0.11,0,6
neurofeedback,Subject_003,Session_003,N/A,100,50,50,53,28,1,8,3,0,6,1,12,1,8,3,0.53,0.54,0.62,0.56,0.5,0.56,0.52,0.64,0.6,257.64,318.81833616948813,128.74,0.5775853558244112,17.16,8.11,9.05,226.5,228.28,287.0,0.6120984404715581,0.5430722711772641,1.0754789272030651,0.0,13,6.124666666666666,5.240880503144654,17,0.17,4,8
neurofeedback,Subject_004,ME,N/A,100,50,50,35,40,5,2,5,1,3,9,13,5,2,5,0.35,0.4,0.42,0.44,0.26,0.5,0.3,0.52,0.32,363.86,350.66023201281286,159.56,0.5236173622879801,18.86,8.98,9.88,195.86,300.4,427.32,0.5373206809623086,0.5099140436136516,0.5910256410256409,0.0,22,6.545333333333331,4.938095238095238,18,0.18,5,11
neurofeedback,Subject_004,Session_001,N/A,200,100,100,67,89,3,2,2,10,14,13,8,3,2,2,0.335,0.35,0.36,0.34,0.33,0.36,0.34,0.36,0.36,373.18,364.1531169807339,178.51,0.4742386463652679,15.365,7.66,7.705,177.02,351.58,394.78,0.46850074837356054,0.47997654435697534,0.5127853881278538,0.0,54,5.8685,4.555223880597015,31,0.155,2,20
neurofeedback,Subject_005,Session_001,N/A,200,100,100,93,92,0,4,4,0,3,4,12,0,4,4,0.465,0.465,0.485,0.57,0.36,0.57,0.36,0.58,0.39,350.71,352.5554277203017,171.39,0.5041425506623886,6.81,3.425,3.385,184.3,265.08,436.34,0.6185145526309016,0.3897705486938757,0.4905128205128205,0.0,70,4.375166666666667,3.895698924731182,16,0.08,4,10
neurofeedback,Subject_005,Session_002,N/A,100,50,50,42,38,0,1,1,6,4,8,2,0,1,1,0.42,0.42,0.43,0.54,0.3,0.54,0.3,0.56,0.3,322.0,346.03796570954125,152.24,0.5127268323451544,17.08,9.06,8.02,203.1,219.96,424.04,0.5821999074484825,0.44325375724182636,0.848559670781893,0.0,19,6.229666666666667,5.075396825396826,21,0.21,1,13
neurofeedback,Subject_006,Session_001,N/A,200,100,100,71,81,5,11,10,6,5,11,28,5,11,10,0.355,0.38,0.435,0.35,0.36,0.38,0.38,0.41,0.46,356.57,363.66313391377406,168.11,0.4675483379551406,11.63,6.005,5.625,187.34,369.1,344.04,0.433935195493869,0.5011614804164123,0.8860566448801742,0.0,47,6.1593333333333335,4.8225352112676045,21,0.105,7,10
neurofeedback,Subject_006,Session_002,N/A,100,50,50,32,43,3,4,0,6,7,5,8,3,4,0,0.32,0.35,0.39,0.16,0.48,0.22,0.48,0.28,0.5,360.9,369.5611987839025,175.92,0.44588476175220976,10.43,5.84,4.59,179.56,426.84,294.96,0.326793841674173,0.5649756818302465,1.2955555555555556,0.0,25,5.998999999999999,4.490625,9,0.09,0,4
neurofeedback,Subject_006,Session_003,N/A,100,50,50,38,45,0,4,4,1,6,2,10,0,4,4,0.38,0.38,0.42,0.3,0.46,0.3,0.46,0.34,0.5,367.02,366.961152173324,181.86,0.46945080361423686,10.75,5.24,5.51,173.62,396.16,337.88,0.40923293277322664,0.529668674455247,0.7368888888888889,0.0,25,5.5858333333333325,4.429824561403509,11,0.11,2,7
neurofeedback,Subject_007,Session_001,N/A,200,100,100,88,70,2,4,4,6,12,14,11,2,4,4,0.44,0.45,0.47,0.55,0.33,0.56,0.34,0.56,0.38,311.05,332.3613181780782,135.79,0.5594971349627909,11.565,5.17,6.395,219.53,223.9,398.2,0.6133891032223147,0.5056051667032672,0.6786427145708583,0.0,33,6.1442499999999995,5.0375000000000005,19,0.095,2,7
neurofeedback,Subject_008,Session_001,N/A,200,100,100,103,72,1,2,3,5,4,10,8,1,2,3,0.515,0.52,0.53,0.36,0.67,0.36,0.68,0.37,0.69,296.01,330.1867035536652,133.73,0.5723488547708088,10.73,5.11,5.62,221.64,400.78,191.24,0.4215678474762785,0.7231298620653392,0.6012345679012346,0.0,38,5.524249999999999,4.701941747572815,18,0.09,3,10
neurofeedback,Subject_009,Session_001,N/A,100,50,50,34,41,5,4,4,4,4,4,15,5,4,4,0.34,0.39,0.43,0.3,0.38,0.36,0.42,0.36,0.5,355.44,359.71114787984004,175.74,0.47964198350549736,19.78,9.99,9.79,179.62,387.84,323.04,0.43347855888106024,0.5258054081299344,1.086008230452675,0.0,19,6.470666666666667,5.092156862745098,24,0.24,7,16
